SUM of tests,country,,,,,
year,Russia,United States,USA Fertility,Russia Fertility,Brazil Fertility,Greenland Fertility
1945,,1,2.38,1.92,6.04,5.72
1946,,2,2.83,2.8,6.07,5.71
1948,,3,3.01,2.56,6.12,5.7
1949,1,,3.2,3.12,6.15,6.05
1951,2,16,3.2,2.88,6.17,5.77
1952,,10,3.3,2.88,6.15,5.96
1953,5,11,3.37,2.72,6.14,6.15
1954,10,6,3.49,2.96,6.14,6.31
1955,6,18,3.54,2.8,6.14,6.61
1956,9,18,3.65,2.72,6.16,6.67
1957,16,32,3.74,2.76,6.18,6.93
1958,36,77,3.69,2.72,6.2,6.82
1960,12,49,3.67,2.56,6.21,7.25
1961,72,11,3.63,2.46,6.19,7.31
1962,79,96,3.48,2.34,6.14,7.09
1963,13,47,3.35,2.28,6.06,7.04
1964,9,45,3.22,2.16,5.95,7.27
1965,17,38,2.93,2.09,5.82,6.96
1966,18,48,2.71,2.1,5.66,7
1967,22,42,2.56,2.01,5.49,6.4
1968,18,56,2.47,1.97,5.33,5.85
1969,24,46,2.46,1.98,5.17,4.58
1970,20,39,2.46,2,5.02,3.9
1971,24,24,2.27,2.02,4.9,3.25
1972,25,27,2.01,2.03,4.78,2.77
1973,19,24,1.87,1.96,4.68,2.69
1974,22,22,1.83,2,4.59,2.3
1975,21,22,1.77,1.97,4.5,2.35
1976,21,20,1.74,1.95,4.42,2.26
1977,28,20,1.78,1.92,4.34,2.35
1978,31,19,1.75,1.9,4.26,2.2
1979,32,15,1.8,1.87,4.17,2.19
1980,25,14,1.82,1.86,4.07,2.44
1981,23,16,1.81,1.88,3.97,2.33
1982,19,18,1.81,1.96,3.85,2.24
1983,29,18,1.78,2.09,3.72,2.05
1984,29,18,1.79,2.05,3.59,2.11
1985,10,17,1.84,2.05,3.45,2.24
1986,,14,1.84,2.18,3.31,2.04
1987,27,14,1.87,2.23,3.17,2.08
1988,16,15,1.92,2.14,3.04,2.32
1989,9,11,2,2.02,2.92,2.3
1990,1,8,2.07,1.89,2.81,2.44
1991,,7,2.06,1.73,2.72,2.42
1992,,6,2.04,1.55,2.64,2.61
1995,1,,1.98,1.34,2.5,2.51
1997,,2,1.97,1.22,2.46,2.69
1998,5,3,2,1.23,2.43,2.46
1999,7,3,2.01,1.16,2.37,2.42
2000,5,5,2.05,1.2,2.3,2.33
2001,,2,2.03,1.22,2.23,2.51
2002,,3,2.02,1.29,2.16,2.57
2003,,2,2.05,1.33,2.1,2.37
2006,,1,2.11,1.3,1.93,2.26
